Date, Open, High, Low, Close
01/05/22, 0.842, 0.858, 0.819, 0.852
01/04/22, 0.755, 0.852, 0.755, 0.842
01/03/22, 0.755, 0.755, 0.755, 0.755
12/31/21, 0.761, 0.773, 0.727, 0.755
12/30/21, 0.780, 0.788, 0.739, 0.761
12/29/21, 0.722, 0.810, 0.722, 0.780
12/28/21, 0.722, 0.722, 0.722, 0.722
12/27/21, 0.722, 0.722, 0.722, 0.722
12/24/21, 0.727, 0.742, 0.712, 0.722
12/23/21, 0.691, 0.754, 0.691, 0.727
12/22/21, 0.673, 0.725, 0.663, 0.691
12/21/21, 0.597, 0.684, 0.596, 0.673
12/20/21, 0.561, 0.600, 0.511, 0.597
12/17/21, 0.555, 0.588, 0.531, 0.561
12/16/21, 0.540, 0.642, 0.522, 0.555
